,products,company,price,weight,star_rating,total_comments,flavours,price_per_100g,per_kg_sell,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
169,Schesir 51% Tuna and Rice in Jelly Canned Wet Cat Food - 140g Each - Pack of 4,schesir,700.0,0.56,3.5,6.0,"['Tuna', 'Wet', 'Schesir', 'Jelly']",124.99999999999999,7500.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170,"Fins Fur and Feathers Me-O Kitten and Cat Food (Adult Mackerel, 1.2Kg)",fins,,1.2,,,"['Adult', 'Kitten', 'Mackerel']",,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Wag & Love Dry Cat Food for Kitten and Adult Cats with Salmon , Turkey & Chicken Recipe (10 Kg)",wag,,10.0,,,"['Dry', 'Adult', 'Chicken', 'Kitten', 'Salmon']",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
172,OEM SYSTEMS Meo Sea Food 3 Kg,oem,,3.0,4.3,477.0,['Sea'],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Wysong Uretic Feline Formula Dry Diet Cat Food - 5 Pound Bag,wysong,,0.005,,,['Dry'],,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Wysong Geriatrx Senior Feline Formula Dry Cat Food - 5 Pound Bag,wysong,5334.0,2.267961872,,,['Dry'],235.19,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Fekrix Adult Cat Food Tuna Flavor 7 kg,fekrix,,7.0,,,"['Adult', 'Tuna']",,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,"Heads Up For Tails Whiskas Mackerel Flavour Adult Dry Cat Food, 1.2 kg Pack (+1 Year)",heads,,2.2,3.8,6.0,"['Dry', 'Adult', 'Mackerel']",,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,"Whiskas Kitten (2-12 months) Wet Cat Food, Tuna in Jelly, 6 Pouches (6 x 85g)",whiskas,,0.51,4.5,576.0,"['Tuna', 'Kitten', 'Wet', 'Jelly']",,,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,Matisse Premium Salmon & Tuna Dry Cat Food - 1.5 Kg Each - Pack of 2,matisse,1999.0,3.0,4.1,9.0,"['Dry', 'Tuna', 'Salmon', 'Matisse']",66.63333333333334,5997.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"Royal Canin Persian Adult Cat Food, 2 kg (Pack of 2)",royal,3950.0,4.0,4.6,3.0,"['Adult', 'Persian', 'Canin']",98.75,2962.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,"ProDiet, Gourmet Seafood cat Food, 500 Grams","prodiet,",200.0,0.5,4.0,4.0,"['Sea', 'Seafood']",40.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"CHOUDHARY PET Shop Kitten (1-12 Months) Dry Cat Food, Ocean Fish, 600g (Buy 1 Get 1 Free)",choudhary,,1.2,,,"['Dry', 'Fish', 'Ocean', 'Kitten']",,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Sk Enterprises Adult cat Food(1.2kg),sk,259.0,1.2,,,['Adult'],21.583333333333332,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,"Wag & Love Dry Cat Food for Kitten and Adult Cats with Salmon, Turkey & Chicken Recipe (1.6 Kg)",wag,1190.0,1.6,3.6,6.0,"['Dry', 'Adult', 'Chicken', 'Kitten', 'Salmon']",74.375,4462.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
184,"CHOUDHARY PET SHOPOcean Fish Adult Dry Cat Food, 1.2kg",choudhary,,1.2,,,"['Dry', 'Adult', 'Fish', 'Ocean']",,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,"DynamicSales (India) Calibra Urinary Feline Struvite Dry Cat Food, 2kg",dynamicsales,1900.0,2.0,4.0,20.0,['Dry'],95.0,19000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
